"type","choice","old","new","question","required","relevant","constraint","calculation","Continua","Discreta","Binaria","Categorica","Promedio","Suma","Maximo","Minimo","Porcentaje","IfAny","Count","Moda","area_total","area_coffee","area_productive","area_all","weight_produced","weight_sold","distance_between","distance_within","price_min","price_max","baseline","endline","bl_loop","el_loop","force_join","bar_plot_avg","bar_plot_cnt","line_plot_y","line_plot_x","donut_plot","choropleth_plot","grouping_var","type_column","logarithm"
"integer",NA,"J7","accessedCreditOrLoan","Cuantas deudas adquirieron durante el ciclo 2023/2024?",TRUE,NA,".>=0 and .<=30",NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"select_one","sn",NA,"accessedFormalCredit","Accedieron al credito o prestamo?",TRUE,"selected(${triedFormalCredit}, 'Y')",NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"select_one","sn","E45A","acquiredSeedlings","Adquirio plantulas?",TRUE,"sourceOfNewSeeds == 'No adquirio semillas'",NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"integer",NA,NA,"Additional_respondents","ENCUESTADOR Cuantas personas contribuyeron a completar la encuesta?",TRUE,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"integer",NA,NA,"ADDITIONAL_RESPONDENTS","ENCUESTADOR Cuantas personas contribuyeron a completar la encuesta?",TRUE,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"select_one","snn","F1","adoptedRecommendedTechnologies","Teniendo en cuenta el periodo anterior a la cosecha 2023/2024 adopto alguna tecnologia o practica recomendada por una organizacion externa o divulgador durante ese ciclo? Incluso si ya no la utiliza por favor informenos.",TRUE,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"select_one","yes_no","G4","affiliationWithCoffeeOrganization","Algun miembro del hogar esta afiliado a una organizacion gremial de cafe?",TRUE,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"select_one","sn",NA,"agreesToDataUse","Esta de acuerdo con el uso de los datos?",TRUE,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"select_one","sn","A9","agreesToSurveyParticipation","Consiente en proporcionar informacion para esta encuesta?",TRUE,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"select_multiple","other_commun","D5","alternativeCommunicationMeans","Dado que no utiliza WhatsApp como se comunica con familiares y amigos usando su celular?",TRUE,"${usesWhatsAppForMessages} = 'N'",NA,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","other_commun",NA,"alternativeCommunicationMeans/Facebook","Dado que no utiliza WhatsApp como se comunica con su familia y amigos a traves del telefono movil/celular?/Facebook",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","other_commun",NA,"alternativeCommunicationMeans/Instagram","Dado que no utiliza WhatsApp como se comunica con su familia y amigos a traves del telefono movil/celular?/Instagram",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","other_commun",NA,"alternativeCommunicationMeans/other","Dado que no utiliza WhatsApp como se comunica con su familia y amigos a traves del telefono movil/celular?/Otro",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","other_commun",NA,"alternativeCommunicationMeans/SMS","Dado que no utiliza WhatsApp como se comunica con su familia y amigos a traves del telefono movil/celular?/SMS",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","other_commun",NA,"alternativeCommunicationMeans/voice","Dado que no utiliza WhatsApp como se comunica con su familia y amigos a traves del telefono movil/celular?/Yo no mando mensajes de texto solo hago llamadas de voz",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decimal",NA,"E64X","amountCoffeeSold","De los ${amountOfCoffeeProducedLastHarvest} (${coffeeProductionMeasurementUnitLabel}) que produjo en la anterior cosecha cuantos ${coffeeProductionMeasurementUnit} vendio a ${buyer}?",TRUE,NA,".<=${amountOfCoffeeProducedLastHarvest}",NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"sales_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decimal",NA,"E22","amountOfCoffeeProducedLastHarvest","Cuanto cafe produjo en la ultima cosecha?",TRUE,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decimal",NA,NA,"amountOfCoffeeProducedLastHarvestInKgGreen","Cuanto cafe produjo en la ultima cosecha?",TRUE,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1
"decimal",NA,"E69","amountSold","De los/las ${coffeeProductionMeasurementUnitLabel} vendidos a ${buyer} cuantos ${coffeeProductionMeasurementUnitLabel} correspondieron a ventas de ${TCX}?",TRUE,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,"sales_process_repeat","sales_process_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decimal",NA,NA,"amountSoldInKgGreen","De los/las ${coffeeProductionMeasurementUnitLabel} vendidos a ${buyer} cuantos ${coffeeProductionMeasurementUnitLabel} correspondieron a ventas de ${TCX}?",TRUE,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"sales_process_repeat","sales_process_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,"E69CA","amountSoldInKgGreen_aux","Cantidad de cafe vendida, en cafe verde y kg",NA,NA,NA,"sum(${E69C})",1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"amountSoldInKgGreen_typ","Cantidad de cafe vendida a comprador X por tipo de cafe, en cafe verde y kg",NA,NA,NA,"if(selected(${salesMeasurementUnit}, ""lb""),${E70CA}*0.46,if(selected(${salesMeasurementUnit}, ""qq""),${E70CA}*46,${E70CA}*1000))",1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"sales_repeat","sales_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,"E69CA","amountSoldInKgGreen_typ_buy","Cantidad de cafe vendida al comprador X, en cafe verde y kg",NA,NA,NA,"sum(${E70CB})",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1
"integer",NA,NA,"area_terr_rowid","Identificador de numero de parcela",NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"area_terr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,"F5","aspectImproved","Identificador de tecnologia usada por el agricultor",NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_conservation","Identificador de tecnologia usada por el agricultor/Conservacion del suelo y gestion de las malas hierbas",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_conservation_tec","Identificador de tecnologia usada por el agricultor/Conservacion del suelo y gestion de las malas hierbas",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_establishment","Identificador de tecnologia usada por el agricultor/Establecimiento de plantaciones",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_establishment_tec","Identificador de tecnologia usada por el agricultor/Establecimiento de plantaciones",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_fertility","Identificador de tecnologia usada por el agricultor/Fertilidad del suelo y nutricion de las plantas",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_fertility_tec","Identificador de tecnologia usada por el agricultor/Fertilidad del suelo y nutricion de las plantas",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_ipm","Identificador de tecnologia usada por el agricultor/Gestion integrada de plagas y enfermedades",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_ipm_tec","Identificador de tecnologia usada por el agricultor/Gestion integrada de plagas y enfermedades",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_none","Identificador de tecnologia usada por el agricultor/Ninguno",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_none_tec","Identificador de tecnologia usada por el agricultor/Ninguno",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_nursery","Identificador de tecnologia usada por el agricultor/Semilleros y viveros",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_nursery_tec","Identificador de tecnologia usada por el agricultor/Semilleros y viveros",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_pruning","Identificador de tecnologia usada por el agricultor/Poda de bandolas (poda sanitaria)",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_pruning_tec","Identificador de tecnologia usada por el agricultor/Poda de bandolas (poda sanitaria)",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_quality","Identificador de tecnologia usada por el agricultor/Control de calidad y recoleccion selectiva",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_quality_tec","Identificador de tecnologia usada por el agricultor/Control de calidad y recoleccion selectiva",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_records","Identificador de tecnologia usada por el agricultor/Mantenimiento de registros y planes de inversion",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_records_tec","Identificador de tecnologia usada por el agricultor/Mantenimiento de registros y planes de inversion",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_rnr","Identificador de tecnologia usada por el agricultor/Rehabilitacion y renovacion",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_rnr_tec","Identificador de tecnologia usada por el agricultor/Rehabilitacion y renovacion",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_shade","Identificador de tecnologia usada por el agricultor/Gestion de la sombra de los arboles",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_shade_tec","Identificador de tecnologia usada por el agricultor/Gestion de la sombra de los arboles",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_tissue","Identificador de tecnologia usada por el agricultor/Manejo de tejidos",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,NA,"aspectImproved_tissue_tec","Identificador de tecnologia usada por el agricultor/Manejo de tejidos",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calculate",NA,"F5A","aspectImprovedId","Filtro para aspectos mejorados en la finca",NA,NA,NA,"if(${TIX}=""Fertilidad del suelo y nutrición de las plantas"",1, if(${TIX}=""Gestión integrada de plagas y enfermedades"",2, if(${TIX}=""Gestión de la sombra de los árboles"",3, if(${TIX}=""Semilleros y viveros"",4, if(${TIX}=""Establecimiento de plantaciones"",5, if(${TIX}=""Conservación del suelo y gestión de las malas hierbas"",6, if(${TIX}=""Rehabilitación y renovación"",7, if(${TIX}=""Manejo de tejidos"",8, if(${TIX}=""Mantenimiento de registros y planes de inversión"",9, if(${TIX}=""Control de calidad y recolección selectiva"",10,  if(${TIX}=""Poda de bandolas (poda sanitaria)"",11,12)))))))))))",0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"select_multiple","interventions","F6","aspectsExperimentedWith","Que aspectos de ${TIX} ensayo?",NA,"${receivedTechnicalAssistance} = 'indiv' or ${receivedTechnicalAssistance} = 'group' or ${receivedTechnicalAssistance} = 'both'","not((selected(${aspectsExperimentedWith}, '7') or selected(${aspectsExperimentedWith}, '12') or selected(${aspectsExperimentedWith}, '16') or selected(${aspectsExperimentedWith}, '20') or selected(${aspectsExperimentedWith}, '23') or selected(${aspectsExperimentedWith}, '31') or selected(${aspectsExperimentedWith}, '36') or selected(${aspectsExperimentedWith}, '41') or selected(${aspectsExperimentedWith}, '46') or selected(${aspectsExperimentedWith}, '53')) and count-selected(${aspectsExperimentedWith}) > 1)",NA,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/1","Que aspectos de ${TIX} ensayo?/Minimo 3 fertilizaciones al ano",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/1_tec","Que aspectos de ${TIX} ensayo?/Minimo 3 fertilizaciones al ano",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/10","Que aspectos de ${TIX} ensayo?/Aplicacion de practicas agricolas climaticamente inteligentes que incluyan acolchado sombra a corto plazo arboles perennes diversificacion",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/10_tec","Que aspectos de ${TIX} ensayo?/Aplicacion de practicas agricolas climaticamente inteligentes que incluyan acolchado sombra a corto plazo arboles perennes diversificacion",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/11","Que aspectos de ${TIX} ensayo?/Conocimiento de la variedad y el origen del material de plantacion",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/11_tec","Que aspectos de ${TIX} ensayo?/Conocimiento de la variedad y el origen del material de plantacion",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/12","Que aspectos de ${TIX} ensayo?/Ninguno de estos",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/12_tec","Que aspectos de ${TIX} ensayo?/Ninguno de estos",NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dummies","interventions",NA,"aspectsExperimentedWith/13","Que aspectos de ${TIX} ensayo?/Emplea metodos para el control de plagas",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"tech_repeat","tech_repeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
